iteration,opponent,win_rate,win_rate_lower95,win_rate_upper95,score_differential,bid_success_rate_current,bid_success_rate_opponent,policy_loss,value_loss,visit_entropy,kl_divergence,eval_games_played,eval_inconclusive
5,iter_000000,0.75,0.5789344086290853,0.8674759914885746,18.1875,0.47610294117647056,0.3713235294117647,0.4968447968250445,0.38377977740515323,0.574360708806449,0.0472510450204459,32,false
10,iter_000000,0.84375,0.6824585025525295,0.9313557976092527,24.65625,0.48713235294117646,0.3492647058823529,0.4960904737849453,0.39238250880073217,0.5740366972503054,0.03796918856229293,32,false
15,iter_000000,0.75,0.6318372344143515,0.8398507352678932,16.375,0.46875,0.3740808823529412,0.49489611674294626,0.3192666316586056,0.5728456289207506,0.028320872377768206,64,false
20,iter_000000,0.71875,0.5986606961815428,0.8140662772904212,14.34375,0.46691176470588236,0.38235294117647056,0.4915190602794762,0.16137201754479244,0.5683949413757825,0.03506601650585747,64,false
25,iter_000000,0.8125,0.6469084465243861,0.9111045536226888,23.21875,0.49264705882352944,0.3602941176470588,0.48947878971604386,0.1236984809281966,0.5728478121102052,0.039600587357502874,32,false
30,iter_000025,0.5104166666666666,0.4402002006967744,0.5802244837538477,0.041666666666666664,0.5042892156862745,0.5039828431372549,0.48793282878659194,0.09924883063417404,0.5689679279852093,0.03848140027913567,192,true
35,iter_000025,0.4947916666666667,0.42487051180830326,0.5649171459663855,-0.8645833333333334,0.5073529411764706,0.5125612745098039,0.48535508184531295,0.087301291199081,0.5695100578222435,0.036986238707583066,192,true
40,iter_000025,0.5260416666666666,0.45559699289267147,0.5954647182338842,1.7552083333333333,0.5104166666666666,0.5018382352941176,0.4840651384466787,0.08058490059095431,0.5680866713651729,0.03607474786112818,192,true
45,iter_000025,0.4947916666666667,0.42487051180830326,0.5649171459663855,-0.140625,0.5061274509803921,0.5064338235294118,0.4818203974831678,0.07341613659589158,0.5703421567794735,0.035755448280092174,192,true
50,iter_000025,0.5885416666666666,0.5178627049026284,0.6557471129276614,4.572916666666667,0.5266544117647058,0.5003063725490197,0.4784845224890193,0.0685489130136819,0.5671130708856573,0.03512385622949343,192,true
55,iter_000025,0.5208333333333334,0.45045726297425603,0.5903921059269888,3.9739583333333335,0.5318627450980392,0.5061274509803921,0.47702608379463035,0.06276880698607946,0.5661505281969519,0.03450507473419383,192,true
60,iter_000025,0.515625,0.4453250016921599,0.5853120249837735,2.8229166666666665,0.5373774509803921,0.5186887254901961,0.47571872798109077,0.06426830106856209,0.5653106059474458,0.034332353450749566,192,true
65,iter_000025,0.6666666666666666,0.5675650607292554,0.752943076456977,11.552083333333334,0.5606617647058824,0.4944852941176471,0.47417242229987105,0.059837158741861136,0.5658259171142876,0.03361000300095407,96,false
70,iter_000065,0.484375,0.4146879750162264,0.5546749983078401,1.3385416666666667,0.5465686274509803,0.5413602941176471,0.47216963550410795,0.060712053726167656,0.5644588307858284,0.03322869843863083,192,true
75,iter_000065,0.484375,0.4146879750162264,0.5546749983078401,1.3802083333333333,0.5487132352941176,0.5425857843137255,0.4709361034694262,0.052896311136649894,0.5638153673601758,0.03249913896165908,192,true
80,iter_000065,0.5,0.4299729581337897,0.5700270418662103,1.4947916666666667,0.553921568627451,0.5459558823529411,0.4708232701343304,0.05856817334868759,0.5606594786905051,0.032944517231653425,192,true
85,iter_000065,0.5260416666666666,0.45559699289267147,0.5954647182338842,4.223958333333333,0.5643382352941176,0.539828431372549,0.46849828417829503,0.04884545068459599,0.5636260287590676,0.031883142059399606,192,true
90,iter_000087,0.4583333333333333,0.3621884941148445,0.5576844715885974,-2.53125,0.5582107843137255,0.5674019607843137,0.4674986813662432,0.053361875302751896,0.5610546411708737,0.03174482397111423,96,true
95,iter_000087,0.5729166666666666,0.4730431404647973,0.6671791695541792,4.364583333333333,0.5655637254901961,0.5404411764705882,0.46708130688324956,0.05217969470395538,0.5654557444110117,0.03159594842283014,96,true
100,iter_000087,0.5104166666666666,0.4119603701490724,0.608071388425067,0.010416666666666666,0.5723039215686274,0.5680147058823529,0.46837603593901617,0.05253133935493511,0.5665114681131369,0.03129735032251567,96,true
105,iter_000087,0.5625,0.4627588255003766,0.6574317259444605,7.010416666666667,0.5962009803921569,0.5484068627450981,0.46883962178791555,0.05273084112137037,0.5671551486460528,0.030717184385446832,96,true
110,iter_000087,0.6145833333333334,0.5146070295654495,0.7057423147500854,8.0625,0.5974264705882353,0.5465686274509803,0.470695610099725,0.04800410209149275,0.5705578037144937,0.030331296152442733,96,true
120,iter_000115,0.40625,0.3134530209875429,0.5062611518452013,-5.25,0.5735294117647058,0.6017156862745098,0.47072955142390155,0.04747027421566517,0.5734667769622844,0.029142775599431996,96,true
